TRANSPORT_ID,IDENTIFIER_NUMBER,REGISTRATION_NUMBER_1,REGISTRATION_NUMBER_2,DEPARTURE_DATE,NAT_TRANSPORT_MODE_CODE,INTL_TRANSPORT_MODE_CODE,NATIONALITY,CUSTOMS_OFFICE,CMR_NUMBER,CMR_DATE,TIR_NUMBER,TIR_DATE,CARRIER_CODE,HAS_IDENTIFIER_DEFECT,HAS_CMR_NUMBER_DEFECT,HAS_TIR_NUMBER_DEFECT,HAS_TIR_DATE_DEFECT,HAS_CMR_DATE_DEFECT,HAS_CUSTOMS_OFFICE_DEFECT,HAS_TRANSPORT_DEFECT
660370,,,MRKU2599967,18/07/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
660376,,,,18/07/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
660377,,,,18/07/17,3,1,FR,,,,,,MERTZ,,,,,,,
660383,,,,18/07/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
660384,,,,18/07/17,3,1,FR,,,,,,MERTZ,,,,,,,
660385,,,,18/07/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
660386,,,,18/07/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
660388,,DP944YA,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660389,,DP944YA,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660392,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
660393,,DL910YV,,18/07/17,3,4,FR,,,,,,,,,,,,,
660394,,DL910YV,,18/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
660395,,DL910YV,,18/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
660424,,,,18/07/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
660425,,,,18/07/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
660457,,BT374650,,17/07/17,3,3,PL,PL301040,,,,,,,,,,,,
660458,,BT374655,,17/07/17,3,3,PL,,,,,,,,,,,,,
660459,,BT374650,,17/07/17,3,3,PL,PL301040,,,,,,0,0,0,0,0,,2
660460,,BT374650,,17/07/17,3,3,PL,,,,,,,0,0,0,0,0,0,2
663370,,,,02/08/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
663371,,,BT374443 1,02/08/17,3,1,FR,,,,,,MERTZT 1,0,0,0,0,0,,2
663714,,DL910YV,,28/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
663715,,DL910YV,,28/07/17,3,4,FR,,,,,,,,,,,,,
663716,,DL910YV,,28/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
663717,,DL910YV,,28/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
663718,,DL910YV,,28/07/17,3,4,FR,FR00677A,,,,,,,,,,,,
663719,,DL910YV,,28/07/17,3,4,FR,,,,,,,,,,,,,
663720,,DL910YV,,28/07/17,3,4,FR,FR00677A,,,,,,0,0,0,0,0,,2
663721,,DL910YV,,28/07/17,3,4,FR,,,,,,,0,0,0,0,0,,2
662838,,,,02/08/17,3,1,FR,,,,,,MERTZ,,,,,,,
662837,,,,02/08/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633177,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633178,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633179,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633180,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633181,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633182,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633217,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633218,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633232,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633233,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633242,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633243,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633244,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633245,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633246,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633247,,,,02/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
633400,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
633401,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
633402,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
633404,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
633406,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
633407,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
633408,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
633409,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
633417,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
633419,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
633691,,,,03/05/17,3,1,FR,FR002300,,,,,MERTZ,,,,,,,
633692,,,,03/05/17,3,1,FR,,,,,,MERTZ,,,,,,,
634058,,,,03/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
634059,,,,03/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
646595,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
646596,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
646597,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
646598,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
646600,,,,02/05/17,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
646601,,,,02/05/17,3,1,FR,,,,,,MERTZ,0,0,0,0,0,,2
608801,,NVJH,,14/09/17,3,3,IT,FR00677A,,,,,,,,,,,,
894563,,34VE6168,,21/12/17,3,3,TR,FR004430,,,,,,,,,,,,
894629,,34VE6168,,21/12/17,3,3,TR,FR004430,,,,,,0,0,0,0,0,,2
904035,,EK041350,,08/01/18,3,3,PL,PL301040,,,,,,,,,,,,
904036,,EK041350,,08/01/18,3,3,PL,,,,,,,,,,,,,
904093,,EK041350,,08/01/18,3,3,PL,PL301040,,,,,,0,0,0,0,0,,2
904094,,EK041350,,08/01/18,3,3,PL,,,,,,,0,0,0,0,0,0,2
903706,,EK860050,,08/01/18,3,3,PL,PL301040,,,,,,,,,,,,
903707,,EK860050,,08/01/18,3,3,PL,,,,,,,,,,,,,
903728,,EK860050,,08/01/18,3,3,PL,PL301040,,,,,,0,0,0,0,0,,2
903729,,EK860050,,08/01/18,3,3,PL,,,,,,,0,0,0,0,0,0,2
605681,,EA449750,,13/02/17,3,3,PL,,,,,,,,,,,,,
609824,,EA449750,,13/02/17,3,3,PL,,,,,,,0,0,0,0,0,0,2
608007,,,,20/02/17,3,1,ES,,,,,,MAERSK,,,,,,,
608069,,587826,,20/02/17,3,4,FR,FR00677A,,,,,ARC,,,,,,,
608070,,587826,,20/02/17,3,4,FR,,,,,,ARC,,,,,,,
608581,,587897,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,,,,,,,
608582,,587897,,21/02/17,3,4,FR,,,,,,TRANSFLEX,,,,,,,
612231,,587826,,20/02/17,3,4,FR,FR00677A,,,,,ARC,0,0,0,0,0,,2
612235,,587826,,20/02/17,3,4,FR,,,,,,ARC,0,0,0,0,0,,2
612297,,,,20/02/17,3,1,ES,,,,,,MAERSK,0,0,0,0,0,,2
612249,,587897,,21/02/17,3,4,FR,,,,,,TRANSFLEX,0,0,0,0,0,,2
612248,,587897,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,0,0,0,0,0,,2
608597,,587900,,21/02/17,3,4,FR,FR00677A,,,,,UTE,,,,,,,
608598,,587900,,21/02/17,3,4,FR,,,,,,UTE,,,,,,,
612250,,587900,,21/02/17,3,4,FR,FR00677A,,,,,UTE,0,0,0,0,0,,2
612251,,587900,,21/02/17,3,4,FR,,,,,,UTE,0,0,0,0,0,,2
608583,,587898,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,,,,,,,
608584,,587898,,21/02/17,3,4,FR,,,,,,TRANSFLEX,,,,,,,
612252,,587898,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,0,0,0,0,0,,2
612253,,587898,,21/02/17,3,4,FR,,,,,,TRANSFLEX,0,0,0,0,0,,2
608585,,587899,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,,,,,,,
608586,,587899,,21/02/17,3,4,FR,,,,,,TRANSFLEX,,,,,,,
612254,,587899,,21/02/17,3,4,FR,FR00677A,,,,,TRANSFLEX,0,0,0,0,0,,2
612255,,587899,,21/02/17,3,4,FR,,,,,,TRANSFLEX,0,0,0,0,0,,2
608599,,587901,,21/02/17,3,4,FR,FR00677A,,,,,UTE,,,,,,,
608600,,587901,,21/02/17,3,4,FR,,,,,,UTE,,,,,,,
612256,,587901,,21/02/17,3,4,FR,FR00677A,,,,,UTE,0,0,0,0,0,,2
612257,,587901,,21/02/17,3,4,FR,,,,,,UTE,0,0,0,0,0,,2
608601,,587902,,21/02/17,3,4,FR,FR00677A,,,,,UTE,,,,,,,
608602,,587902,,21/02/17,3,4,FR,,,,,,UTE,,,,,,,
612258,,587902,,21/02/17,3,4,FR,FR00677A,,,,,UTE,0,0,0,0,0,,2
